Symbol,Year,Month,Day,Open,High,Low,Volume,Market Cap,Volatility25,SMA25,EMA25,ATR25,RSI25,Close,NextClose
shib,2020,7,10,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,11,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,12,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,13,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,14,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,15,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,16,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,17,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,18,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,19,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,20,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,21,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,22,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,23,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,24,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,25,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,26,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,27,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,28,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,29,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,30,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,7,31,0.0,0.0,0.0,3501406.43,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shib,2020,8,1,0.0,0.0,0.0,2605130.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shib,2020,8,2,0.0,0.0,0.0,391254.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shib,2020,8,3,0.0,0.0,0.0,113815.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shib,2020,8,4,0.0,0.0,0.0,41730.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shib,2020,8,5,0.0,0.0,0.0,24964.61,0.0,0.0,0.0,0.0,0.0,10.35,0.0,0.0
shib,2020,8,6,0.0,0.0,0.0,22921.57,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0
shib,2020,8,7,0.0,0.0,0.0,11652.46,0.0,0.0,0.0,0.0,0.0,9.79,0.0,0.0
shib,2020,8,8,0.0,0.0,0.0,18351.21,0.0,0.0,0.0,0.0,0.0,11.96,0.0,0.0
shib,2020,8,9,0.0,0.0,0.0,5962.24,0.0,0.0,0.0,0.0,0.0,11.69,0.0,0.0
shib,2020,8,10,0.0,0.0,0.0,6312.42,0.0,0.0,0.0,0.0,0.0,11.35,0.0,0.0
shib,2020,8,11,0.0,0.0,0.0,3346.76,0.0,0.0,0.0,0.0,0.0,11.26,0.0,0.0
shib,2020,8,12,0.0,0.0,0.0,1903.93,0.0,0.0,0.0,0.0,0.0,11.13,0.0,0.0
shib,2020,8,13,0.0,0.0,0.0,2036.04,0.0,0.0,0.0,0.0,0.0,11.52,0.0,0.0
shib,2020,8,14,0.0,0.0,0.0,3232.43,0.0,0.0,0.0,0.0,0.0,12.85,0.0,0.0
shib,2020,8,15,0.0,0.0,0.0,2331.28,0.0,0.0,0.0,0.0,0.0,12.78,0.0,0.0
shib,2020,8,16,0.0,0.0,0.0,1002.88,0.0,0.0,0.0,0.0,0.0,12.76,0.0,0.0
shib,2020,8,17,0.0,0.0,0.0,591.99,0.0,0.0,0.0,0.0,0.0,12.73,0.0,0.0
shib,2020,8,18,0.0,0.0,0.0,253.5,0.0,0.0,0.0,0.0,0.0,12.66,0.0,0.0
shib,2020,8,19,0.0,0.0,0.0,1183.92,0.0,0.0,0.0,0.0,0.0,13.7,0.0,0.0
shib,2020,8,20,0.0,0.0,0.0,3955.11,0.0,0.0,0.0,0.0,0.0,14.77,0.0,0.0
shib,2020,8,21,0.0,0.0,0.0,1646.04,0.0,0.0,0.0,0.0,0.0,14.13,0.0,0.0
shib,2020,8,22,0.0,0.0,0.0,6320.05,0.0,0.0,0.0,0.0,0.0,14.12,0.0,0.0
shib,2020,8,23,0.0,0.0,0.0,4806.52,0.0,0.0,0.0,0.0,0.0,14.1,0.0,0.0
shib,2020,8,24,0.0,0.0,0.0,338.38,0.0,0.0,0.0,0.0,0.0,14.25,0.0,0.0
shib,2020,8,25,0.0,0.0,0.0,205.85,0.0,0.0,0.0,0.0,0.0,14.18,0.0,0.0
shib,2020,8,26,0.0,0.0,0.0,649.16,0.0,0.0,0.0,0.0,0.0,19.12,0.0,0.0
shib,2020,8,27,0.0,0.0,0.0,1652.88,0.0,0.0,0.0,0.0,0.0,27.89,0.0,0.0
shib,2020,8,28,0.0,0.0,0.0,4161.4,0.0,0.0,0.0,0.0,0.0,45.78,0.0,0.0
shib,2020,8,29,0.0,0.0,0.0,6473.63,0.0,0.0,0.0,0.0,0.0,47.87,0.0,0.0
shib,2020,8,30,0.0,0.0,0.0,16939.53,0.0,0.0,0.0,0.0,0.0,44.69,0.0,0.0
shib,2020,8,31,0.0,0.0,0.0,34446.48,0.0,0.0,0.0,0.0,0.0,55.7,0.0,0.0
shib,2020,9,1,0.0,0.0,0.0,12378.87,0.0,0.0,0.0,0.0,0.0,54.23,0.0,0.0
