Start,End,Open,High,Low,Close,Volume,Market Cap
2025-01-14,2025-01-15,0.33762452222424366,0.36131450574672447,0.33660949860072376,0.3567565853423471,7595091486.2125435,51592415282.348434
2025-01-13,2025-01-14,0.3367093569181755,0.34501930640751255,0.31316947689023167,0.33887933692167843,5433970281.414634,48450467824.60627
2025-01-12,2025-01-13,0.34108180007013045,0.3434109590231784,0.3330638324243778,0.3360728214126105,3499275647.0313587,50022865700.10453
2025-01-11,2025-01-12,0.3341683804895408,0.34800166834211177,0.3305148689955791,0.34191357937813605,4942835415.15331,49577483181.28223
2025-01-10,2025-01-11,0.3229057662990313,0.33854874652086137,0.3229057662990313,0.3341762768384755,7508799572.062717,48929609599.11498
2025-01-09,2025-01-10,0.34202839826937004,0.34706379992125175,0.3158129769708865,0.3218235783488806,8211374168.76655,48832856603.74564
2025-01-08,2025-01-09,0.3490473370870715,0.35514343748621313,0.32851361214484415,0.34313341539390096,11262192395.623693,51005243917.52962
2025-01-07,2025-01-08,0.387188752411745,0.3967877311770318,0.349139176363083,0.349139176363083,7706267440.87108,55840628193.310104
2025-01-06,2025-01-07,0.3820644978487979,0.3934334830570259,0.3769322872024673,0.3878996137528885,6029805854.094405,56991103441.22028
2025-01-05,2025-01-06,0.39370940040185104,0.3963554543437843,0.3767652637564609,0.3827248269850371,7171952458.623693,56833050771.414635
2025-01-04,2025-01-05,0.38021400380003095,0.39829264385756136,0.3780008236444154,0.39464930751295807,11219932557.04878,57077735975.74216
2025-01-03,2025-01-04,0.33866318047845234,0.38847685641405727,0.3362799019456492,0.37912160121968197,6619248889.076655,52451156655.902435
2025-01-02,2025-01-03,0.3250023492112088,0.3446550661258963,0.3250023492112088,0.339063802151127,5473956885.738676,49602147672.47735
2025-01-01,2025-01-02,0.316531048763928,0.32675366211918155,0.3123209116529165,0.32480897670479303,3931288386.655052,47022342690.99651
2024-12-31,2025-01-01,0.31336741455209643,0.32796430844354885,0.30992536826596745,0.3162876441708764,5032593716.634147,46758361422.832756
2024-12-30,2024-12-31,0.31413023332357176,0.3223255222096901,0.3070769249261587,0.31374073473516506,4313260489.118467,46757046964.12195
2024-12-29,2024-12-30,0.3236647349192369,0.32920925640641974,0.3122262518440004,0.31510308435570955,3094870552.6655054,47407592918.65505
2024-12-28,2024-12-29,0.3125308233458034,0.3260594656519718,0.311907802597722,0.324299564724796,3664978206.41115,46896764900.47387
2024-12-27,2024-12-28,0.31452920585997496,0.32406826330321287,0.31039789839540655,0.31190171239553793,4847009627.721254,46483244763.45644
2024-12-26,2024-12-27,0.33647865979442687,0.3372820991997501,0.31112267057565385,0.31340926474679426,5171266195.5958185,47216531797.18467
2024-12-25,2024-12-26,0.3363320977036936,0.34177532756167994,0.3278629507113426,0.3346197927244899,5956996183.204226,49114210615.521126
2024-12-24,2024-12-25,0.3245297039667184,0.3403454579509253,0.3172869971428789,0.3376345770937508,7322500406.292683,48195880752.3554
2024-12-23,2024-12-24,0.31288738273747435,0.3276113645973306,0.3050890159456528,0.32423956712678254,8836013568.470383,46413872184.98606
2024-12-22,2024-12-23,0.31930150275814645,0.32420548503675223,0.3066183046303314,0.31261333290661814,10845672783.926828,46703218515.47038
2024-12-21,2024-12-22,0.31916931927924913,0.34934993729968083,0.31635348682692177,0.3223762298171747,18585328269.226482,48512712701.70731
2024-12-20,2024-12-21,0.3137514024518381,0.3283909039983665,0.26639268674134214,0.31850960817214624,22056901633.648083,45529028017.874565
2024-12-19,2024-12-20,0.35969862461433766,0.36744629547832397,0.30493943332539575,0.31691463079195775,14388407210.76655,51352484262.10802
2024-12-18,2024-12-19,0.3938768206944262,0.3961275626063151,0.357003404792959,0.35826769186103125,8546853384.888502,56333177087.31359
2024-12-17,2024-12-18,0.40120539922138176,0.41002671920854816,0.39222892177791585,0.39443868516942654,8031366887.0069685,58993956920.10802
2024-12-16,2024-12-17,0.4059635283133064,0.41401794621259186,0.39366168391969186,0.4017920204156854,7478441745.355401,59377197411.17073
2024-12-15,2024-12-16,0.3977938106250359,0.40872177093238554,0.39301525127836445,0.4070621349550777,6577861632.529616,58876605391.66899
2024-12-14,2024-12-15,0.4078027149916038,0.41245449462581385,0.3885662954163602,0.3974246093481972,7090157593.073171,59108625129.74564
2024-12-13,2024-12-14,0.40683596968231045,0.41122206344348655,0.3997315474998372,0.4074014005367536,9425501931.703833,59677770656.268295
2024-12-12,2024-12-13,0.4124584517542955,0.42312086059917814,0.40231474135221684,0.4061970359562429,12304527820.470383,60712791397.05575
2024-12-11,2024-12-12,0.3965178973290953,0.41826925840573353,0.3767638692959602,0.41382465506990174,18338196954.48432,59076842789.627174
2024-12-10,2024-12-11,0.40960211059847473,0.4203167418112898,0.3677339632771867,0.3934757543311293,26356020566.686413,58655428954.98258
2024-12-09,2024-12-10,0.4633874791464195,0.4633874791464195,0.39696904602110716,0.41403048228215694,16501886370.45993,64413471568.888504
2024-12-08,2024-12-09,0.4541753559656714,0.48055332735931827,0.44813641922616976,0.4666690481049825,18920739251.101044,67931162753.083626
2024-12-07,2024-12-08,0.4344983026374716,0.46523948268399695,0.4318318351772549,0.4529525382394947,13644834227.212543,65807194029.01045
2024-12-06,2024-12-07,0.42459727355914406,0.44040377262712016,0.4215401530285503,0.4347492807756896,19168250267.192307,63781444108.55595
2024-12-05,2024-12-06,0.4291544229060318,0.4629251758890425,0.41158481496821503,0.42829264931570316,26321434566.05245,64482145947.24825
2024-12-04,2024-12-05,0.4101154410255256,0.4344163560101755,0.4028769894179878,0.43081863804824344,15637266563.487804,61162622960.836235
2024-12-03,2024-12-04,0.42339605206900094,0.42664996398175437,0.38536598881035355,0.40844073105410394,18866063569.853657,60813141150.188156
2024-12-02,2024-12-03,0.44100290493715333,0.45956701179825393,0.40562736503947994,0.42420277807305257,22626163482.609756,62806530535.623695
2024-12-01,2024-12-02,0.42339028913346766,0.4484851856349756,0.41852502153726623,0.4397225785162418,12233211060.125435,63191476607.81533
2024-11-30,2024-12-01,0.42423259433475663,0.4338915121111506,0.4152881279058156,0.42198683893521705,13823897886.195122,62304529471.045296
2024-11-29,2024-11-30,0.4017586073570553,0.4363216540535946,0.40010719105900455,0.4253921541946608,10111440724.083624,60875640738.33798
2024-11-28,2024-11-29,0.3992379070229748,0.42520071878839066,0.3930165319752471,0.40213906847382447,13017535801.860628,59174169476.51219
2024-11-27,2024-11-28,0.38446692553338263,0.407494102125583,0.38208788116137715,0.4019111470443822,15006283496.972126,58057672928.60976
2024-11-26,2024-11-27,0.3932984106151399,0.4082641880608567,0.3669854300582144,0.38728060701949285,18996137073.139374,57209728366.149826
2024-11-25,2024-11-26,0.42583011212296906,0.4356052627898653,0.3835622636607529,0.3931576209845559,19643901180.059235,61084559992.36934
2024-11-24,2024-11-25,0.4327765008857488,0.4513206824951275,0.4009280078145193,0.42903836322334504,28909821683.254356,62642395869.560974
2024-11-23,2024-11-24,0.41312091964235415,0.47531308275389084,0.40508495603120204,0.4289323956122782,36327726541.69686,65288528693.30662
2024-11-22,2024-11-23,0.3867351407587523,0.41812745287525804,0.38174360406623714,0.4112667259217,19089968050.1115,58308626104.55052
2024-11-21,2024-11-22,0.37957021434513905,0.3940564587243108,0.370794425130705,0.38745595583172887,16475487955.744755,56409900682.888115
2024-11-20,2024-11-21,0.389708163569984,0.39502584805635016,0.36654570448989,0.3776526996592413,21954249299.850174,56500902684.756096
2024-11-19,2024-11-20,0.36955671656935146,0.41733154031386793,0.36864714459167747,0.39110685195689493,20067133243.801395,57070011782.52613
2024-11-18,2024-11-19,0.36542498501704085,0.3788695710948041,0.35987124490499084,0.3720165125612617,14710644566.463415,54402637669.334496
2024-11-17,2024-11-18,0.3631070663112532,0.37391306496550675,0.3441188468987141,0.36686896799540625,14913751040.592335,52969966697.51219
2024-11-16,2024-11-17,0.379189433291302,0.3890753839917656,0.36196238029191796,0.3642214280021331,18706648119.174217,54923988895.88502
2024-11-15,2024-11-16,0.3688898348565514,0.38439611730162043,0.35541523251869633,0.377366271980822,27003701405.891987,54197077706.35191
2024-11-14,2024-11-15,0.3973411246524943,0.4128610048789469,0.3561073891262299,0.3628119385492976,38661795026.87805,57629084771.39373
2024-11-13,2024-11-14,0.38645365486334393,0.42899826617071773,0.3583473355211898,0.39809503203833385,63917952683.04878,57127149147.42857
2024-11-12,2024-11-13,0.339092728286243,0.4356677291983793,0.3296331568612719,0.38487991538902383,68298829295.61672,55911234240.93031
2024-11-11,2024-11-12,0.28134792643816714,0.34926607352196337,0.2760947323117768,0.34926607352196337,38680237542.31359,43992157932.50871
2024-11-10,2024-11-11,0.21692119182795874,0.29187568510593837,0.21692119182795874,0.27911699038206955,16606595207.393728,35803044117.44599
2024-11-09,2024-11-10,0.2015049860542341,0.21861688283716804,0.1978487889625496,0.21787357028133825,8411685877.585366,30183978750.327526
2024-11-08,2024-11-09,0.1947138090920117,0.20582170324451776,0.19107432245481645,0.20200405722340295,7938234494.592335,28799659064.25784
2024-11-07,2024-11-08,0.19510839216249412,0.2021719064619007,0.18660028158502043,0.19314419360737528,14329322930.261324,28238970395.198605
2024-11-06,2024-11-07,0.17064240591226548,0.21173491791940513,0.1694264431390284,0.196148031060975,24292749710.341465,28726468036.867596
2024-11-05,2024-11-06,0.15915389142625588,0.17740042263589073,0.15915389142625588,0.17015423037174662,8054652740.299651,24712974469.477352
2024-11-04,2024-11-05,0.151033157541238,0.1600411679177502,0.14870937399597173,0.15819575091821372,5282570129.480836,22633441646.407665
2024-11-03,2024-11-04,0.15954230701385447,0.15966319392486356,0.14314719407426166,0.15207078078251804,3783109602.916376,22003032609.62718
2024-11-02,2024-11-03,0.16008788641978325,0.1635526405831917,0.15640280696758707,0.15942509273609007,4159681644,23368320239.43554
2024-11-01,2024-11-02,0.16196276445953517,0.168000520555601,0.15465827203659202,0.15945573940164087,5417531448.505226,23485212367.843204
2024-10-31,2024-11-01,0.1696255234999087,0.17296978781656178,0.15746018968922126,0.16155136900341496,4385881117.181185,24541997096.4669
2024-10-30,2024-10-31,0.17665095624197572,0.17762627170555567,0.1655394816757578,0.16828912839205473,6964233327.20209,25029905561.174217
2024-10-29,2024-10-30,0.16132196911281416,0.1790217901045205,0.16121634893469192,0.17600526119116694,8670413629.202091,24698588925.721256
2024-10-28,2024-10-29,0.14399502169384265,0.1618818732896165,0.14128193512764833,0.1610855059229449,4032322444.522648,21698259699.63763
2024-10-27,2024-10-28,0.1374459184378208,0.14576652722516498,0.13613340443723856,0.14427679745265334,1685990691.989547,20396674098.33101
2024-10-26,2024-10-27,0.130722168877941,0.13781153929092796,0.130722168877941,0.1374047014561962,2796154946.1045294,19683622156.45296
2024-10-25,2024-10-26,0.14191714358936316,0.1424778999240788,0.1288470941756558,0.1301329025578746,2743206710.0940766,20132054578.26829
2024-10-24,2024-10-25,0.14005448188768513,0.14320220884434007,0.13654181277216904,0.14203033666408207,3058762889.142857,20496789522.062717
2024-10-23,2024-10-24,0.13963760133653721,0.14033220348439387,0.13321209264855516,0.13987422140659908,2937563695.9059234,20200403738.0662
2024-10-22,2024-10-23,0.14416853967092075,0.14792705701895525,0.13702618180569606,0.1395521574181519,3749008777.651568,20770176988.198605
2024-10-21,2024-10-22,0.14166401958287977,0.14939679036467016,0.13859503267065224,0.14376829548007689,3886515759.2160277,21084069382.99303
2024-10-20,2024-10-21,0.14442070440862145,0.14510685997691047,0.13728811885678016,0.1418658871866096,3290239099.195122,20668786890.83972
2024-10-19,2024-10-20,0.1375039653901816,0.14621317219850197,0.13719033435171432,0.14476290208259526,4458727117.146341,20950633699.867596
2024-10-18,2024-10-19,0.12944213253009637,0.14037001015498332,0.1293590909320269,0.13706865604572954,4551377852.989547,19778818585.02439
2024-10-17,2024-10-18,0.1259531691732675,0.13002707380954323,0.12087608645464315,0.12893737608785039,3718860172.2229967,18072907877.783974
2024-10-16,2024-10-17,0.11733113845157345,0.12908680355478586,0.11554182265437925,0.1256100934113376,19019862204.324043,18003046139.66202
2024-10-15,2024-10-16,0.11697406142918847,0.11851488504454466,0.11116612204047102,0.11656243757966905,55707158245.89198,16901662063.334496
2024-10-14,2024-10-15,0.11120545347124113,0.11753799271795437,0.10936919282038687,0.11631574583505462,53988676912.82927,16586227588.68641
2024-10-13,2024-10-14,0.11137374030730401,0.11261192240703204,0.1091488972332827,0.11127079879786451,51766855553.79791,16223625551.710802
2024-10-12,2024-10-13,0.1107495037240314,0.11232747888158959,0.10940379231626736,0.11120649907844389,52079792606.7108,16254942041.804878
2024-10-11,2024-10-12,0.1061077753278221,0.11167392534229022,0.10577569455736589,0.1110815724468164,51122101818.8676,15925640937.777004
2024-10-10,2024-10-11,0.10788968940946217,0.10859964823696107,0.10277424237571325,0.10605847925727188,50395585685.25436,15560445714.337978
2024-10-09,2024-10-10,0.10688243811523485,0.11155205591844054,0.10638173862254377,0.1079546899960087,51250204221.006966,15917887869.421602
2024-10-08,2024-10-09,0.10905343201847907,0.11000462771477816,0.10572686509642917,0.10762781935308252,52004982693.85366,15751755750.101046
2024-10-07,2024-10-08,0.11122882509650296,0.11515881925803183,0.10902376677433481,0.10902376677433481,52620668717.31707,16436994358.76655
2024-10-06,2024-10-07,0.10973529136821142,0.11285401174917024,0.10823303495329255,0.11119921131491634,51232453514.2892,16078550484.261324
2024-10-05,2024-10-06,0.10946929845381756,0.1102665734878119,0.10740575120109541,0.10988518430857737,51337714306.25436,15931318236.41115
2024-10-04,2024-10-05,0.10516991249471312,0.1109366208731191,0.10467847355557786,0.10870309028860355,51407363775.07317,15796618538.156794
2024-10-03,2024-10-04,0.10415434280896245,0.10669272363020028,0.10154836087265003,0.10514281019343212,51038921717.39024,15282598805.916376
2024-10-02,2024-10-03,0.10704928229265703,0.10953933316526221,0.10250025354394439,0.10433854195698056,52129066504.80139,15575595894.763065
2024-10-01,2024-10-02,0.1146525839694868,0.11919428116083708,0.10483535870832782,0.10717511187612462,53016989955.74913,16606895364.034843
2024-09-30,2024-10-01,0.12450052281098947,0.12456407795311787,0.1134570911857829,0.11393833392766693,53696490041.78397,17580922440.19164
2024-09-29,2024-09-30,0.12905747461381492,0.130409906077425,0.12461478721145738,0.1247781784857655,55768102976.519165,18585253846.055748
2024-09-28,2024-09-29,0.12309524818306444,0.13185228970302915,0.12056252879433568,0.1285566945205519,55919925338.13589,18463280238.212543
2024-09-27,2024-09-28,0.1184890133287419,0.12860505656327767,0.11675710925560465,0.12426992332739396,56078927703.96864,17946399380.54704
2024-09-26,2024-09-27,0.10860664207869022,0.11998596621882777,0.1067692540346316,0.11848461332218463,53982401595.6446,16647176397.170732
2024-09-25,2024-09-26,0.1097938073867095,0.1112254202594049,0.10781916109754063,0.10863056222581699,52962606625.8676,16006017772.599302
2024-09-24,2024-09-25,0.10831767693666872,0.11099778278099207,0.10676973001326755,0.11000956659903459,52665295377.832756,15842612936.156794
2024-09-23,2024-09-24,0.10596855560369015,0.10924509041240854,0.10432476997734562,0.10829301842368967,52608020473.400696,15629175662
2024-09-22,2024-09-23,0.1096449726336187,0.11008295694104883,0.10431014858246848,0.1061755486587899,51952043126.49826,15644762384.891987
2024-09-21,2024-09-22,0.10541024136789627,0.11051205974828514,0.10367341820426872,0.10966333202109545,52080819517.902435,15603247444.606272
