timestamp,open,high,low,close,volume
2024-08-26 16:00:00+00:00,18.135275524,158.492,18.135275524,157.835,0.000510664
2024-08-26 17:00:00+00:00,157.7475,158.007,155.694,157.503,0.0
2024-08-26 18:00:00+00:00,157.434,159.35,156.509,158.9675,0.0
2024-08-26 19:00:00+00:00,158.9185,159.07,157.6755,158.04,0.0
2024-08-26 20:00:00+00:00,157.9425,159.275,157.52,158.9095,0.0
2024-08-26 21:00:00+00:00,158.82,158.885,156.45,157.624,0.0
2024-08-26 22:00:00+00:00,157.71,158.3,157.1485,157.472,0.0
2024-08-26 23:00:00+00:00,157.413,158.25,156.775,157.225,0.0
2024-08-27 00:00:00+00:00,157.15,158.25,157.057,157.601,0.0
2024-08-27 01:00:00+00:00,157.56,158.97,157.45,158.285,0.0
2024-08-27 02:00:00+00:00,158.214,159.04,158.1,158.3035,0.0
2024-08-27 03:00:00+00:00,158.25,158.631,157.476,158.586,0.0
2024-08-27 04:00:00+00:00,158.6675,158.9,158.0675,158.5915,0.0
2024-08-27 05:00:00+00:00,158.6505,159.689,158.6505,159.335,0.0
2024-08-27 06:00:00+00:00,159.283,159.283,157.645,158.085,0.0
2024-08-27 07:00:00+00:00,158.1725,158.415,157.395,157.655,0.0
2024-08-27 08:00:00+00:00,157.78,158.015,156.7445,156.935,0.0
2024-08-27 09:00:00+00:00,156.8595,157.725,156.25,156.51,0.0
2024-08-27 10:00:00+00:00,156.427,156.427,153.516,153.6285,0.0
2024-08-27 11:00:00+00:00,153.5295,154.8655,153.3645,154.15,0.0
2024-08-27 12:00:00+00:00,154.28,154.43,152.782,154.242,0.0
2024-08-27 13:00:00+00:00,154.345,155.43,153.584,154.2025,0.0
2024-08-27 14:00:00+00:00,154.29,155.74,153.635,153.688,0.0
2024-08-27 15:00:00+00:00,153.775,154.85,153.187,153.741,0.0
2024-08-27 16:00:00+00:00,153.672,155.0075,153.2575,153.55,0.0
2024-08-27 17:00:00+00:00,153.65,154.957,153.473,154.957,0.0
2024-08-27 18:00:00+00:00,154.89,155.499,154.334,155.42,0.0
2024-08-27 19:00:00+00:00,155.324,155.398,154.394,154.909,0.0
2024-08-27 20:00:00+00:00,154.9805,154.996,153.9975,153.9975,0.0
2024-08-27 21:00:00+00:00,153.95,154.1695,147.5515,149.2505,0.0
2024-08-27 22:00:00+00:00,149.15,149.48,145.1355,147.461,0.0
2024-08-27 23:00:00+00:00,147.3405,147.85,146.355,146.795,0.0
2024-08-28 00:00:00+00:00,146.748,146.85,145.378,146.065,0.0
2024-08-28 01:00:00+00:00,146.138,147.144,145.45,147.005,0.0
2024-08-28 02:00:00+00:00,146.9105,146.9985,145.895,146.76,0.0
2024-08-28 03:00:00+00:00,146.72,148.3435,146.72,148.25,0.0
2024-08-28 04:00:00+00:00,148.1565,148.285,147.33,147.3845,0.0
2024-08-28 05:00:00+00:00,147.385,148.795,147.2195,147.391,0.0
2024-08-28 06:00:00+00:00,147.4555,147.4865,147.0235,147.1995,0.0
2024-08-28 07:00:00+00:00,147.12,147.3925,143.812,144.035,0.0
2024-08-28 08:00:00+00:00,143.955,145.752,142.825,145.12,0.0
2024-08-28 09:00:00+00:00,145.195,148.02,144.95,148.02,0.0
2024-08-28 10:00:00+00:00,147.9435,147.9435,146.605,146.805,0.0
2024-08-28 11:00:00+00:00,146.727,147.6895,146.665,147.15,0.0
2024-08-28 12:00:00+00:00,147.075,148.55,147.075,147.6955,0.0
2024-08-28 13:00:00+00:00,147.605,147.8385,145.159,145.2595,0.0
2024-08-28 14:00:00+00:00,145.346,146.885,143.944,144.896,0.0
2024-08-28 15:00:00+00:00,144.8,144.8,143.245,144.1855,0.0
2024-08-28 16:00:00+00:00,144.1355,144.1355,140.574,143.05,10.0
2024-08-28 17:00:00+00:00,143.0,143.305,141.65,142.155,0.0
2024-08-28 18:00:00+00:00,142.247,144.645,142.03,144.555,0.0
2024-08-28 19:00:00+00:00,144.65,145.633,143.74,144.3105,11.548686197
2024-08-28 20:00:00+00:00,144.2455,146.35,143.2415,144.19,0.0
2024-08-28 21:00:00+00:00,144.095,144.813,142.864,142.97,10.0
2024-08-28 22:00:00+00:00,142.947,143.615,141.609,143.545,0.0
2024-08-28 23:00:00+00:00,143.455,144.265,143.21,143.93,0.0
2024-08-29 00:00:00+00:00,143.85,145.041,143.85,144.245,0.0
2024-08-29 01:00:00+00:00,144.333,144.845,143.075,143.4535,0.0
2024-08-29 02:00:00+00:00,143.4045,144.025,143.045,143.925,0.0
2024-08-29 03:00:00+00:00,144.035,144.1775,143.058,143.2625,0.0
2024-08-29 04:00:00+00:00,143.35,143.855,143.25,143.444,0.0
2024-08-29 05:00:00+00:00,143.6195,144.287,143.25,144.282,0.0
2024-08-29 06:00:00+00:00,144.21,145.34,144.145,144.697,0.0
2024-08-29 07:00:00+00:00,144.775,144.985,144.575,144.702,0.0
2024-08-29 08:00:00+00:00,144.77,145.2075,144.4935,145.0865,0.0
2024-08-29 09:00:00+00:00,145.143,146.025,144.935,145.35,0.0
2024-08-29 10:00:00+00:00,145.404,145.845,145.05,145.213,0.0
2024-08-29 11:00:00+00:00,145.2895,146.878,145.23,145.6835,0.0
2024-08-29 12:00:00+00:00,145.64,146.011,145.25,145.5,0.0
2024-08-29 13:00:00+00:00,145.45,145.85,144.723,145.5565,8.0
2024-08-29 14:00:00+00:00,145.57,145.954,144.896,145.41,15.98
2024-08-29 15:00:00+00:00,145.31,147.35,145.31,146.161,0.0
2024-08-29 16:00:00+00:00,146.05,146.7895,143.7945,144.28,0.0
2024-08-29 17:00:00+00:00,144.17,144.586,143.6285,144.4635,9.975
2024-08-29 18:00:00+00:00,144.386,144.45,139.35,139.715,0.0
2024-08-29 19:00:00+00:00,139.75,141.26,138.647,140.28,0.068839635
2024-08-29 20:00:00+00:00,140.25,141.377,139.272,140.288,0.0
